K,WCSS,Silhouette Score
2,8588.985343295873,0.4386023012270002
3,6354.343153426073,0.3477454491034673
4,4921.233345273808,0.36497078400572347
5,4099.106078778311,0.3424961358761568
6,3554.6962688609824,0.3347964327358149
7,3194.5009715515403,0.30663604807644523
8,2902.4338849526234,0.3033153691690236
9,2656.5623279084416,0.29252387787540013
10,2467.3784663539077,0.29052511584322954
