PC1,PC2,Cluster
2.2775763873703765,2.440651955358313,2
2.3139045478650653,-1.107910245553665,2
0.5706375955145165,0.25882035594870945,3
1.205787422497485,-0.3089007104322737,1
-1.505611934869773,0.09462369775544668,0
-1.6128509102844184,0.16777276291628382,0
1.4158084396568704,0.1873808245880501,2
-0.976436039387409,0.07204547653256303,0
-0.902385097699336,0.2860735921319563,0
-0.623900577087633,0.3514324930015368,3
1.5618307123678101,0.02407282053559511,2
1.4818525890156349,0.3269819709099298,2
1.9019401785366936,-1.3273313816562469,2
1.7596634798167112,0.7851381391853793,2
1.3209105498240763,0.4319544354741979,2
-0.5975452386062331,0.5152453681978114,3
2.477029555875266,-0.8183916488600341,2
-0.6451156657484318,-0.17492622199821578,0
0.9346439662479252,-1.1135528856898205,1
-0.8928504165678813,0.4033796413561539,0
-1.5615469197516916,0.6087228288203972,0
-0.46527881143055305,-2.3870172303746666,1
-1.294437646329007,0.7851249591160452,0
-0.33936384385057317,1.0089909727927258,3
1.2437432106905097,0.38270918889984124,2
1.0381656143202418,0.19177480111635745,3
0.08203805616076368,-0.04449612908910458,3
-0.4493284924502775,0.7143790978640704,3
0.9496178030359919,-0.2820298176088503,1
-0.00681892532373436,-1.4579093077682057,1
-1.0929322394360899,0.4917400128632199,0
0.200751120539168,1.1362361346997194,3
0.29575107759915553,0.6005629911125564,3
0.30718225045377695,0.1745557629932406,3
2.1686300534971577,0.3235100959788679,2
1.353067744418011,-1.1683486390918607,1
0.24295046470976187,0.7262268985373166,3
-0.1962346284878461,-0.8789114833504005,1
-0.805724700819607,0.7312069854116092,3
-1.1444460395708218,0.34583236200445,0
-1.9653878280525414,0.0035122903606198746,0
1.6512915157703651,-0.22098192285552645,2
-0.42850998065675033,0.9287374622806693,3
-0.8540065067423301,-0.4985525200435607,0
1.2055054540882846,-0.2539978118118463,2
-1.8675796910823739,0.34391641511982707,0
0.7763211718284525,0.34481531861485665,3
-0.1084070848796166,-0.21996551971917222,1
2.1205227640367093,0.1368317395921722,2
-1.3108154192394297,0.828495441657441,0
0.35209511287170725,-0.33935664037124463,1
-0.20328567004118653,-0.4722495933135317,1
0.629671221741632,0.6076140283793731,3
-1.8108740891111967,0.107943151860332,0
-2.094912023079846,-0.32839336138199327,0
0.012398875799896325,0.9729243766189698,3
-0.12647700296492784,-0.4201635128241696,1
-2.480451851941216,0.032993451127416515,0
-0.5594013478991714,0.18110423222551036,3
1.4593408470059916,-0.05505408652958884,2
0.6268218862686109,-0.01132395284621991,3
1.4734930305292497,0.19327200485073995,2
1.8412174214018584,1.1271964019322729,2
-0.49362420750815866,0.6789287920216511,3
-1.5798949114067624,0.2593421829837908,0
0.7977405372675023,0.3907263145176263,3
0.16132250368339848,-0.08008868347432271,3
0.019856180808661895,0.6713180698855145,3
3.9924891117096397,1.503499872031853,2
-1.9657667125792082,0.3581922425526731,0
3.007545927110921,-0.5417395001029409,2
0.30078814437582163,0.41582415887209767,3
-1.0897253897921086,0.4859861071527982,0
-0.744524591301358,-0.5935872865374775,1
0.9077064659611177,-0.6928572572954376,1
1.7440646329731488,1.0815604886385302,2
2.323863290684862,-1.446594829198545,2
0.4019022378407423,0.766898904050857,3
-0.03490681970784406,-0.018406204494917287,3
-0.4414067051435947,0.4053522135388001,3
0.25892420785791265,-0.816871545396099,1
1.8924492198783638,0.28640880796798496,2
2.0251876176205688,-0.3745292369581078,2
-0.9880639402100093,-1.063176616033004,1
2.6935855877199675,0.9189685722568945,2
1.1476354489146492,0.2326717183136342,3
3.132968900280525,-0.889990549940518,2
-0.041729376373911234,-0.0027731122525069666,3
1.508866466533029,0.9292503695698779,2
-0.9589855378006401,-0.3999483079865026,0
3.8637525361090583,-0.27710337395856216,2
0.7259676351225797,-0.7810711632572224,1
-0.9168750043540517,1.0457705871774796,3
-0.9147916027653773,0.7451256587417834,0
-1.8446991352638318,-0.008369491822279656,0
-0.3850310292923384,-2.504548420516079,1
-1.6211729639176593,0.6788040987456176,0
1.3672981003350362,-0.15278278720768795,2
-0.2393194396407142,-1.1142317395884567,1
-0.49013406629940126,-0.49355714937436473,1
-1.2731593250399522,0.06671770155942697,0
-0.7514594741787362,-0.883014137041099,1
1.4554315188202775,-0.08206733020578776,2
-0.1328681564520819,0.336480918841484,3
2.2772892675429133,-0.05996679157102217,2
-0.1644200688880721,-1.2524561342075813,1
-0.9098873317339237,-0.14156366381192978,0
1.5836866006473025,0.7330274539229289,2
1.507043271067146,0.786709597327188,2
0.6290380663535738,-0.04270871016325614,3
1.092412617718156,0.4562147617841238,3
0.39354308502495666,0.12390813970868939,3
-1.5882534816202947,0.5541653399052948,0
-1.6403634971530563,0.2998688341631209,0
-0.4188934717449915,-0.13979363780012555,3
0.2437147890890609,-0.8901301148528501,1
0.36515122892671,-0.11831835649899118,3
1.2830018889523411,-0.8113179139974369,1
0.07244379651306812,-1.0895114709642297,1
-2.5270160949945524,0.0009607268000572033,0
-2.0064045699801003,-0.009958937887113512,0
0.5361332637438173,0.9403006676259569,3
-0.40018020663079,1.1949462363830496,3
-1.9619508583350005,0.39869782115155333,0
4.891890045698545,0.3208046467756295,2
2.6671690443361658,0.8653237853674314,2
1.1613147680721183,-0.05439266700220155,2
3.102931683363168,0.6217222083055891,2
