K,WCSS,Silhouette Score
2,8588.985343295872,0.4386023012270002
3,6354.343153426074,0.34774544910346733
4,4921.233345273812,0.3649707840057234
5,4099.106078778321,0.34249613587615674
6,3554.6962688609856,0.3347964327358149
7,3194.500971551531,0.30663604807644523
8,2902.433884952617,0.3033153691690236
9,2656.562327908441,0.29252387787540013
10,2467.3784663539095,0.29052511584322954
